Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
46,"Gegara Ini, Jepang Naikkan Usia Legal Berhubungan Seks",2023-02-26,Jakarta CNBC Indonesia Jepang belum lama ini telah menaikkan usia legal melakukan hubungan seks di negaranya Dari yang sebelumnya tahun menjadi tahun Perombakan undangundang ini dipicu oleh kritik bahwa ada kegagalan melindungi anakanak dari perkosaan dan pelanggaran seksual lainnya Salah satunya dilakukan seorang ayah kepada putrinya pada lalu Sang ayah sempat dibebaskan dari hukum padahal berulang kali memperkosa putrinya Dikutip dari The Japan Times usia legal berhubungan seks di Jepang tidak pernah berubah sejak Hal ini disebabkan harapan hidup ratarata orang Jepang yang kurang dari tahun ADVERTISEMENT SCROLL TO RESUME CONTENT Usia legal di Jepang berhubungan intim juga tergolong rendah di antara negara lainnya seperti Inggris dan Korea Selatan tahun Jerman dan China tahun Prancis tahun Meski demikian Jepang bukan merupakan negara dengan usia legal terendah di dunia Menurut World Population Review Angola dan Filipina mencatat usia legal terendah yaitu tahun Di bawah KUHP saat ini anakanak berusia minimal tahun dianggap mampu menyetujui atau memberikan consent Artinya aktivitas seksual yang mereka lakukan tidak dianggap perkosaan menurut undangundang Ada seruan untuk menaikkan batas usia tersebut agar lebih mencerminkan kenyataan karena eksploitasi seksual terhadap anak di bawah umur semakin menjadi perhatian Subkomite hukum pidana dari Dewan Legislatif yang menasihati menteri kehakiman juga berusaha membuat definisi yang lebih spesifik untuk kejahatan hubungan seksual paksa dan penyerangan tidak senonoh agar lebih mudah membangun kasus untuk kejahatan semacam itu dan mendukung tuduhan terkait di pengadilan Nantinya aturan terkait pelaku seksual akan ditambahkan Pelaku seksual akan dihukum apabila mempersulit korban untuk membentuk mengungkapkan atau memenuhi niat untuk tidak menyetujui atau memanfaatkan situasi seperti itu Kementerian Kehakiman juga menyarankan untuk memperpanjang batas waktu untuk melaporkan pemerkosaan dari menjadi tahun untuk memberi lebih banyak waktu bagi para penyintas Rencananya aturan ini akan disetujui pada pertengahan Februari Pemerintah berharap untuk memberlakukan revisi KUHP selama sesi parlemen berlangsung hingga Juni Beberapa hal yang disorot undangundang ini adalah hubungan seksual dengan anak di bawah tahun adalah ilegal terlepas dari persetujuan sedangkan hubungan seksual dengan mereka yang berusia sampai tahun akan dihukum jika jarak usia pelaku lima tahun atau lebih tua Perubahan usia legal ini juga ditujukan agar tidak ada lagi kekerasan atau intimidasi sewenangwenang pada mereka yang melakukan seks dengan anak di bawah umur berdalih konsen Di sisi lain rancangan perubahan usia legal juga memperluas definisi soal kejahatan seks Pelaku nantinya tidak bisa lagi membuat korban bak berada di situasi serba sulit Sulit untuk melawan secara fisik danatau psikologis terkait penyerangan seksual,27.0,1.0,29,Neutral,6.0,0.996,"makan, nikita, anak, kerja, usia, , kaleng, rendah, tulis, milik"
47,"Hari Libur, Ribuan Wisatawan Padati Wisata Bukit Lawang",2023-02-26,Langkat tvOnenewscom Hari libur dimanfaatkan warga untuk berwisata ke sejumlah lokasi wisata salah satunya adalah Wisata Bukit Lawang yang berada di Kecamatan Bahorok Kabupaten Langkat Minggu Sejak pagi wisata yang sudah dikenal hingga mancanegara ini dikunjungi ribuan wisatawan domestik dari berbagai daerah di Sumatera Utara Seperti dari Kota Binjai Kabupaten Langkat dan Kota Medan Menurut salah seorang wisatawan domestik Erwin mengatakan sengaja datang ke wisata Bukit Lawang ini untuk bermain air sungai bersama keluarganya Kami sengaja datang ke lokasi wisata ini karena airnya yang sejuk dan dingin sebab air sungai yang mengalir di Wisata Bukit Lawang ini merupakan air pegunungan yang bersumber dari kawasan Taman Nasional Gunung Leuser TNGL ucap Erwin kepada tvonenewscom Erwin juga menjelaskan selain bisa mandi di sungai di sini wisatawan juga bisa bermain arung jeram dan tracking melihat kawasan orang utan Di sini selain kita bisa mandi di air sungai yang sejuk juga bisa bermain arung jeram dan tracking melihat orang utan jelas Erwin Selain menyajikan wisata air di Wisata Bukit Lawang juga menyediakan fasilitas hotel dan resto sehingga bagi wisatawan yang ingin menghabiskan hari libur bisa menginap di salah satu hotel dan resto yang ada di kawasan Wisata Bukit Lawang,11.0,0.0,13,Positif,8.0,0.9926,"wisata, pantai, orang, kota, milik, , tarik, kabupaten, dompu, rumah"
48,"Fenomena Segmentatif, Tidak Semua Bisa Diterima di Senior Living",2023-02-26,JawaPoscom – Mampu membayar tidak menjadi satusatunya ukuran bagi Sasana Tresna Werdha STW RIA Pembangunan untuk menerima penghuni baru Bak masuk kampus negeri favorit seleksinya panjang dan susah Sosiolog Universitas Padjadjaran Unpad Yusar menyatakan paradigma masyarakat Indonesia terhadap senior living atau senior house mulai berubah Jika tadinya tak dilirik karena bisa memantik pandangan negatif terhadap keluarganya senior living kini lebih diminati Itu supaya kebutuhan komunikasi mereka terpenuhi Menurutnya ini terjadi lantaran mereka sering merasakan “kehampaan” karena tidak bekerja lagi usai pensiun Mereka juga kesepian karena saluran interaksinya terputus ”Sebelumnya mereka bisa berinteraksi dengan rekan kerjanya” ujarnya Jumat Baca juga Senior Citizen dan Pilihan Mengisi Senior Life Tak Bersama Keluarga Lebih lanjut dia menjelaskan para lansia di masa sekarang tergolong dalam kategori baby boomers Mereka terbiasa produktif Kondisi ini sezaman dan sejalan dengan industrialisasi besarbesaran pasca Perang Dunia II Industrialisasi tersebut yang mendorong terjadinya urbanisasi atau proses pengkotaan yang bercirikan pada produktivitas Membuat manusia untuk aktif terutama dalam bekerja Selain itu proses pengkotaan ini tidak hanya membuat lahan bermukim terbatas namun juga aktivitas kelompok usia produktif sangat tinggi untuk bekerja Kondisi ini membuatnya tidak memiliki waktu untuk orang tuanya atau para lansia Akibatnya sering ditemui para lansia yang mengalami kesepian atau merasa diesklusikan dari masyarakat Urbanisasi tersebut memunculkan pemikiran untuk “memberi hunian baru” bagi para lansia dengan penghuninya sesama lansia Dengan hunian baru ini para lansia dapat berinteraksi satu sama lain dan terhindar dari kesepian Tentu saja hunian baru ini harus sesuai dengan standar yang dimiliki Harus yang bagus memadai untuk dihuni memiliki fasilitas perawatan bagi lansia dan ada teman interaksi bagi orang tuanya Di sisi lain bagi para pebisnis tentu saja hal ini bisa dipandang sebagai peluang usaha dan investasi Selain mendapatkan keuntungan berasal sewa yang ditarik dari keluarga si lansia ada peluang usaha caregiver Untuk mendapatkan tenaga caregiver ini dibangunlah bisnis pendidikan caregiver dan divalidasi dengan sertifikat caregiver profesional Kombinasi fasilitas memadai dan tenaga caregiver yang profesional pun akhirnya jadi pendorong kelompok usia produktif untuk lebih percaya menyerahkan pengurusan orang tuanya ke senior living Hal ini lanjut dia sepertinya juga telah diamati oleh anakanak muda Mereka tidak menginginkan menjadi lansia kesepian Karenanya banyak dari anak muda yang sudah mulai berpikir untuk tinggal di senior living retirement home ketika mereka pensiun ”Dan saya kira ada pergeseran juga bahwa anak muda sekarang berpikiran untuk tidak menjadi beban bagi anakanaknya kelak” ungkapnya Menurutnya jika sebelumnya orang tua menuntut anak untuk mengurus mereka saat tua maka dewasa ini tuntutan tersebut semakin melonggar Mungkin jika dijabarkan dalam kalimat akan jadi seperti ini kalian anakanak red tidak perlu merasa wajib mengurus kami orang tua red hidupmu adalah hidupmu hiduplah sesuai keinginanmu Baca juga OJK Minta Wanaartha Life Penuhi Hak Pemegang Polis ”Bukan hanya anak muda lansia yang tergolong fase baby boomers akhir juga tampaknya telah memiliki pemikiran bahwa anak tidak berkewajiban mengurus orang tuanya” sambungnya Namun perlu digaris bawahi kata dia yang memiliki pemikiran seperti ini bersifat segmentatif Yakni pada kaum muda kelas menengah progresif Dan berpikiran terbuka tentunya Sebaliknya pada kelas bawah atau kelompok yang tradisional hal ini masih belum dapat diterima Masih banyak masyarakat yang belum lazim menyerahkan pengurusan orang tua kepada senior living Bahkan banyak yang menilai “membuang orang tua” Sebab orang tualansia bagi masyarakat Indonesia dan Asia Timur umumnya dipandang sebagai orang harus dirawat dihormati dan disenangkan Sehingga ada semacam pelanggaran norma dan perasaan bersalah jika menyerahkan pengurusan orang tua kepada senior living ”Secara makro boleh dikatakan bahwa ada kenaikan tingkat kesejahteraan sehingga mampu membayar sewa panti dan juga fasilitasnya Namun sekali lagi fenomena ini masih segmentatif” pungkasnya,,,0,Neutral,7.0,0.9975,", senior, choi, orang, lansia, abby, living, siswa, finlandia, hiv"
49,"Fakta Tentang Suhu Tubuh Wanita dan Pria, Mana yang Lebih Tinggi?",2023-02-26,YOGYAKARTA – Suhu tubuh banyak memberi tahu tentang kondisi kesehatan Ketika normal bisa dikatakan tubuh menjalankan mekanisme seperti biasa Namun jika suhu tubuh meningkat atau mengalami demam banyak faktor yang memengaruhi kondisi ini Infeksi merupakan penyebab demam Ketika mengalaminya suhu tubuh naik turun sesuai usia jenis kelamin bahkan tanpa diduga saat seseorang berbohong suhu tubuh mengalami perubahan Menurut US National Library of Medicine suhu tubuh normal berkisar antara derajat Celsius Mungkin bagi Anda sedikit lebih tinggi atau lebih rendah dari suhu ratarata Suhu tubuh selalu menyesuaikan dengan suhu lingkungan Misalnya suhu tubuh akan meningkat ketika matahari siang sedang terikteriknya Kemudian akan turun saat matahari mulai tergelincir terbenam Kalau anak kecil dan bayi suhu tubuhnya lebih tinggi daripada orang dewasa Ini karena luas permukaan tubuh mereka relatif besar dan metabolisme mereka lebih aktif Bayi baru lahir ratarata suhu tubuhnya mencapai Celsius Berbeda kalau dalam kondisi demam yang mengindikasikan kondisi tertentu Biasanya demam diikuti tubuh menggigil berkeringat sakit kepala nyeri otot kehilangan selera makan mudah marah dehidrasi dan tubuh lemah Ilustrasi fakta tentang suhu tubuh Freepikxb Ketika demam suhu tubuh mencapai Celsius atau lebih tinggi Suhu ini memerlukan perhatian dan penanganan medis Suhu tubuh tinggi pada bayi dan balita biasanya bisa menjadi tanda infeksi serius dilansir Everyday Health Minggu Februari Penting diketahui demam sebenarnya adalah respons tubuh Ketika suhu tubuh meninggi artinya mereka sedang melawan infeksi Sebenarnya tak apa tidak diobati selama tidak diikuti gejala berbahaya lainnya Tetapi umumnya akan diberi resep dari dokter untuk menurunkan demam Suhu tubuh orang yang lebih tua berbeda dengan anak bayi dan orang dewasa lebih muda Mereka biasanya suhu tubuh lebih rendah Menurut penelitian suhu tubuh akan menurun seiring bertambahnya usia meskipun dalam kondisi demam Ilustrasi fakta tentang suhu tubuh FreepikDCStudio Nah suhu tubuh wanita dan pria ternyata juga ratarata berbeda Dalam sebuah penelitian yang diterbitkan di Lancet para peneliti di University of Utah di Salt Lake City menemukan bahwa suhu inti tubuh wanita ratarata derajat lebih tinggi daripada pria Tapi tangan wanita ratarata derajat  lebih dingin daripada pria Uniknya lagi suhu tubuh akan menurun ketika berbohong Dalam sebuah penelitian yang diterbitkan pada April di Journal of Investigative Psychology and Offender Profiling mereka menggunakan pencitraan termal untuk menunjukkan bahwa kecemasan yang ditimbulkan oleh kebohongan menyebabkan suhu hidung menurun dan area di sekitar dahi meningkat Sebagai tambahan pengetahuan saat di luar sedang hujan dan suhu lingkungan menurun makan berkuah dan pedas bisa membantu meningkatkan suhu tubuh Anda Selain juga meningkatkan metabolisme ternyata makanan pedas meningkatkan suhu inti tubuh meski suhu kulit lebih rendah,,,0,Positif,0.0,0.9968,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
50,Shaun Torrente Menang Race 1 F1 Powerboat Danau Toba 2023,2023-02-26,BALIGE investorid – Pembalap tim Abu Dhabi Uni Emirat Arab UEA Shaun Torrente menjadi pemenang dalam Race  Powerboat Danau Toba pada Minggu yang mana babak Race dimulai sejak siang hari Torrente sebagai sang juara bertahan mengalahkan pembalap tim Stromoy Racing Bartek Marszalek yang sempat unggul pada babak kualifikasi sebelumnya Baca juga Jadi Tuan Rumah Kejuaraan Dunia  Powerboat Erick Thohir Dunia Memuji Indonesia Jalannya babak Race berlangsung secara sengit hingga lap akhir Namun kegigihan Torrente berhasil mengungguli Marszalek yang berada di urutan kedua dengan selisih waktu detik Selanjutnya pada urutan ketiga diraih oleh pembalap tim Sharjah Sami Selio Advertisement Adapun hasil balapan pada Race ini akan menjadi patokan dari pole position pada Race Alhasil Torrente menempati pole position terdepan pada Race Baca juga Nanti Bisa Naik Seaplane ke Danau Toba Ini Momen Landing Pertama Kalinya Pada Race terdapat insiden kecelakaan dengan powerboat terbalik yang menimpa pembalap tim Sharjah Ferdinand Zanbergend Panitia pun langsung mengibarkan bendera kuning atau yellow flag Editor Jauhari Mahardhika jauhariinvestorcoid,,,0,Positif,0.0,0.9927,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
51,"Mario Dandy Kepergok Belanja LV Bareng Ibunda, Warganet Kesal: Enak Dong Pakai Duit Rakyat!",2023-02-26,Publik penasaran dengan jumlah harta tersebut lantaran Mario sering memamerkan barang mewah di media sosial Suaracom Kasus penganiayaan kepada anak pengurus GP Anshor David turut mengungkap kemewahan keluarga pelaku Mario Dandy Diketahui bahwa ayah Mario Rafael Alun merupakan ASN di Ditjen Pajak Kementerian Keuangan dengan harta kekayaan mencapai Rp miliar Publik penasaran dengan jumlah harta tersebut lantaran Mario sering memamerkan barang mewah di media sosial Bahkan saat lakukan pengeroyokan kepada David Mario Dandy dan temantemannya juga mengendarai mobil mewah berupa Jeep Wrangler Rubicon Alhasil jejak digital yang telah beberapa waktu lalu juga kembali dikulik Seperti unggahan akun Instagram rumpigosip yang menunjukan kebersamaan Mario dengan sang ibunda saat belanja di toko brand fesyen Loius Vuitton LV Pada video yang diunggah berupa kumpulan foto saat ibu dan anak itu melihatlihat isi toko Baca Juga Ada Kemajuan Luar Biasa Ayah David Kabarkan Kondisi Terkini Anaknya With si ganteng kesayangan mommy demikian tertulis pada salah satu foto tersebut Terlihat Mario yang berdiri berdampingan dengan ibunya Keduanya kompak memakai baju hitam Pada slide berikutnya ditulis kembali kalau Mario ternyata sedang membeli hadiah valentine entah untuk siapa Cieee siap yg mau valentine jarang nih kayak gini so sweet bgt Unggahan itu pun langsung curi perhatian Warganet langsung menyinggung harta kekayaan tak wajar keluarga Rafael Alun Tak sedikit juga yang kesal dan menuding kalau kekayaan mereka hasil dari biaya pajak rakyat Enak dong pake uang rakyat buang buang aja uangnya Rakyatnya makan indomie tiap hari komentar ailexxx Baca Juga Deddy Corbuzier Berang MDS Pamer Mobil Mevvah Untuk Anda Dandy Orang Kaya Kok Pakai Pelat Nomor Mobil Palsu Duit gaji gw tuh dipotong buat bayar pajak tulis moixxx Duit rakyat usaha duit rakyat kerjaaa ituu dipake ampe dikejar pajak buat mami sm anak kesayangan belanja rakyat mikir gimana mau hidup dr hari ke hari kata akun nunxxx Wajib kuras habis hartanya nih berasa gak rela ngelihat betapa hedonnya yg katanya pelayan masyarakat komentar annxxx,7.0,18.0,26,Neutral,0.0,0.8263,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
52,Kisah Zaskia Adya Mecca Mulai Bangun Bisnis dan Bisa Bertahan Hingga Lebih dari 10 Tahun: Bangga Bisa Bertahan,2023-02-26,Zaskia mengungkap jika bisnisnya dimulai ketika dirinya menikah dan memiliki anak Menurutnya saat itu prioritasnya sudah berubah dan tak bisa lagi untuk ikut syuting Kisah Zaskia Adya Mecca Mulai Bangun Bisnis dan Bisa Bertahan Hingga Lebih dari Tahun Bangga Bisa Bertahan Suaracom Memiliki nama besar dan terkenal tak sedikit artis yang memanfaatkan privilege alias keistimewaan tersebut untuk menjadi pebisnis membuat sebuah usaha dengan menjual ketenarannya Sayangnya tak banyak yang bisa bertahan lama seringkali bisnis tersebut justru bubar di tengah jalan Meski begitu hal ini tak terjadi pada Zaskia Adya Mecca Walau sempat jatuh bangun istri sutradara Hanung Bramantyo membuktikan jika kini bisnis yang dimulainya lebih dari tahun silam mulai berkembang Bercerita dalam sebuah talkshow di gelaran Shipper Zaskia mengungkap jika bisnisnya dimulai ketika dirinya menikah dan memiliki anak Menurutnya saat itu prioritasnya sudah berubah dan tak bisa lagi untuk ikut syuting yang memakan waktu Prioritasnya udah berbeda jadi istri dan ibu Aku pengen waktuku punya anak kalo aku masih syuting kayanya ga mungkin tiap sebentar bisa izin terus buat urus anak kata dia mengawali cerita pada Sabtu Baca Juga Bangun Bisnis UMKM dengan Kulkas Showcase Perhatikan Hal Ini Sebelum Membeli Karena terbiasa menghasilkan dan ingin memiliki uang sendiri menurut perempuan kelahiran September ini berpikir bahwa menjadi seorang pengusaha adalah satusatunya yang ideal sehingga ia bisa memgatir waktunya sendiri Bukan cuma itu kata Zaskia menjadi seorang pengusaha juga bisa membuatnya lebih bermanfaat nagi orang banyak dengan membuka lapangan pekerjaan baru untuk orang banyak Terlebih cara ini juga telah dicontohkan Rasulullah dan istriistrinya dengan sederet hal yang bisa ia pelajari Jadi kalo kita liat kenapa sih Rasulullah itu contohin nabi kita itu seorang pedagang Karena menjadi seorang pedagang itu banyak sekali hal yang bisa kita pelajari Soal kejujuran soal amanah soal berkomunikasi dengan orang banyak menjadi teamwork itu banyak banget yang kita pelajarin di situ pungkasnya Zaskia bersyukur ia bisa bertahan di tengah gempuran brandbrand artis lainnya bahkan usahanya semakin berkembang dimulai dari retail fashion kini meluas ke beberapa bidang lain seperti FB villa hingga studio yang ia bangun bersama Hanung Bramantyo di Yogyakarta Merasa bangga aja sih bahwa aku tetap bisa bertahan orang tetap bisa mengenal aku dengan aku menunjukkan sudah tahun berdiri dan insya allah akhir tahun ini mau menuju IPO menunjukkan bahwa kita bisa bertahan bukan cuma untuk nama besar kata dia Baca Juga Nokia Umumkan Identitas Merk dan Logo Baru saat Beralih Fokus ke Solusi Bisnis,1.0,0.0,6,Positif,3.0,0.9955,", indonesia, puasa, umkm, usaha, sampah, milik, bisnis, kembang, kolaborasi"
53,Gaun Dior Rp79 Juta yang Dipakai Jisoo BLACKPINK di Sampul Vogue Prancis Laris Terjual,2023-02-26,Liputancom Jakarta Jisoo BLACKPINK baru saja membuat rekor sebagai perempuan Asia pertama yang tampil di sampul eksklusif Vogue Prancis Melansir KBIZoom Jumat majalah mode kenamaan itu meluncurkan sampul edisi Maret pada Februari Di majalah tersebut Jisoo bergaya bak cewek mamba dalam balutan gaun Dior hitam renda strapless dengan rambut hitam lurus dan berponi Menyambut Jisoo di sampul majalahnya Vogue Prancis juga menuliskan Ini adalah pertama kalinya megastar Kpop membintangi sampul Vogue France Lebih dari bintang musik global Jisoo adalah generasi baru ikon budaya pop Baru saja mengukir rekor Jisoo BLACKPINK kembali membuat sejarah baru Pelantun ‘Pink Venom’ itu lagilagi menunjukkan pengaruhnya yang luar biasa Majalah Vogue Prancis edisi Maret yang menampilkan dirinya itu diserbu pembeli hingga situs penjualan majalah tersebut menjadi down Website kami saat ini sedang down karena banyak orang yang ingin membeli majalah Vogue Prancis Jisoo ungkap Eugenie Trochu pimpinan konten editorial Vogue Prancis melansir KBIZoom Sabtu Februari Bukan itu saja yang lebih mengesankan lagi adalah dress Dior yang dikenakan Jisoo dalam majalah tersebut ludes terjual di semua platform belanja Padahal harga gaun Flared MidLength Dress Black Matte CloquéEffect Technical Fabric”from Dior’ SpringSummer itu termasuk mahal yaitu dolar AS atau sekitar Rp juta Vogue Prancis juga mengakui ketenaran global Jisoo dan BLACKPINK dengan menyatakan Menjadi terkenal berkat BLACKPINK salah satu grup yang paling populer di dunia sejak ia adalah bintang sampul yang sempurna Ia berani bersemangat dan lembut namun tidak pernah rapuh,5.0,0.0,6,Neutral,8.0,0.9867,"wisata, pantai, orang, kota, milik, , tarik, kabupaten, dompu, rumah"
54,"Tak Hanya Mario Dandy, Ini 5 Anak Pejabat Bikin Ulah Terlibat Kasus Hukum, Dari Tembak Hakim hingga Pemerkosaan",2023-02-26,Jakarta tvOnenewscom Seiring kasus penganiayaan yang dilakukan anak Pejabat Dirjen Pajak Mario Dandy terhadap anak Petinggi GP Ansor bernama David Tak hanya kasus Mario Dandy ini anak pejabat bikin ulah terlibat kasus hukum Minggu Mario Dandy Satriyo anak pejabat Dirjen Pajak menjadi perbincangan publik setelah aksi brutalnya menganiaya anak petinggi GP Ansor Jonathan Latumahina yang bernama Cristalino David Ozora Mario Dandy melakukan kekerasan berupa pukulan tendangan hingga menginjakinjak kepala bagian belakang David yang sudah terkapar lemas Dalam video yang beredar luas di media sosial David terkapar tak berdaya di jalanan yang membuatnya hingga kondisi koma dan dirawat di RS Medika Permata Hijau Kondisi terbaru David mengidap Diffuse Axonal Injury akibat penganiayaan tersebut Ternyata bukan hanya Mario Dandy Simak anak pejabat bikin ulah terlibat kasus hukum yang dilansir tim tvOnenews dari berbagai sumber Tommy Soeharto Hutomo Mandala Putra alias Tommy Soeharto Hutomo Mandala Putra alias Tommy Soeharto,,,0,Negatif,0.0,0.9921,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
55,"Sering Mengonsumsi Makanan Kaleng, Ketahui Dampaknya Bagi Tubuh | Dream.co.id",2023-02-27,Perhatikan hal ini saat memilih makanan kaleng Dream Makanan kalengan seperti ikan sarden manisan buah dan corned beef bisa jadi santapan alternatif ketika ingin lebih praktis Rasa makanan kalengan juga tetap lezat Lalu amankah mengonsumsi makanan kalengan secara rutin Menurut dokter yang juga lifestyle influencer Nadia Alaydrus makanan kalengan mengandung bahan pengawet yang bisa berdampak bahaya bagi kesehatan Menurutnya menyantap makanan segar masih tetap lebih baik dibandingkan dalam bentuk kaleng Terutama bagi seseorang yang memiliki riwayat darah tinggi karena makanan kalengan cenderung mengandung banyak garam atau natrium © Shutterstock Foto Shutterstock Selain itu makanan kaleng seperti sarden juga mengandung zinc oxide yang bisa mengganggu kinerja usus dalam menyerap berbagai nutrisi Bahkan menurut salah satu penelitian kandungan zinc oxide dalam makanan kaleng itu bisa kali lebih banyak daripada kebutuhan harian kita ujarnya dalam unggahan di Instagram Perhatikan juga label pada makanan kaleng Hindari makanan kaleng dengan kandungan BPA tinggi yang bisa menyebabkan gangguan hormonal Jadi pilih makanan kaleng yang berlabel BPA free Kontrol juga konsumsi makanan kaleng agar tidak berlebihan,3.0,0.0,4,Neutral,6.0,0.9918,"makan, nikita, anak, kerja, usia, , kaleng, rendah, tulis, milik"
56,"Kebrutalan Mario Dandy Disorot Media Asing, tapi Foto yang Dipakai kok Wajah David GadgetIn",2023-02-26,tvOnenewscom Jagat sosial media Indonesia dihebohkan dengan viralnya pemberitaan media asing terhadap kasus penganiayaan David oleh Mario Dandy Namun ada yang janggal dari pemberitaan media asing tersebut yakni menampilkan foto wajah David GadgetIn alihalih Mario Dandy ataupun Cristalino David Ozora Sontak pemberitaan ini mendapat beragam respon dari netizen Indonesia yang langsung menyadari ada yang salah dengan foto kasus Mario Dandy dan David tersebut Kasus penganiayaan David oleh Mario Dandy sendiri memang sedang menjadi topik hangat dalam beberapa hari terakhir Sementara itu David GadgetIn yang memiliki nama serupa seperti nama korban dalam kasus ini belakangan juga sering dijadikan meme oleh netizen Kasus penganiayaan David sendiri bermula dari aduan Agnes kepada Mario Dandy,0.0,0.0,22,Neutral,0.0,0.9868,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
57,"5 Potret dan Fakta Abby Choi, Selebgram Hong Kong yang Dimutilasi Oleh Mantan Suaminya Sendiri",2023-02-26,Kabar pembunuhan sadis itu pun langsung tersebar dengan cepat Terutama karena sosok Abby Choi yang juga terkenal di media sosial Suaracom Selebgram asal Hong Kong Abby Choi dikabarkan meninggal dunia dengan cara dimutilasi yang diduga dilakukan oleh mantan suaminya Alex Kwong Beberapa potongan tubuhnya ditemukan di sebuah rumah desa di Tai Po Hong Kong setelah dilaporkan hilang sejak Selasa Februari Potongan tubuh Abby Choi ditemukan bersamaan dengan kartu identitasnya kartu kredit serta perkakas yang diduga digunakan untuk memutilasinya seperti alat pengiris daging gergaji listrik dan beberapa pakaian di dalam rumah yang disewa oleh mantan ayah mertuanya Kekinian Kwong dikabarkan telah ditangkap oleh polisi di Dermaga Pengembangan Tung Chung Hong Kong karena sempat mencoba kabur dengan speed boat Ia dicokok polisi pada Sabtu siang waktu setempat Kabar pembunuhan sadis itu pun langsung tersebar dengan cepat Terutama karena sosok Abby Choi yang juga terkenal di media sosial Baca Juga Rachel Vennya Diduga Dicibir Ibu Adhisty Zara Disebut Norak Dan Hidupnya Pansos Berikut lima potret dan fakta Abby Choi yang aktif menjadi influencer fesyen sebelum jadi korban mutilasi Punya Ribu Pengikut Model berusia tahun itu cukup aktif di Instagram yang diberinya nama akun Abby Choi Setelah berita kematiannya tersebar jumlah pengikut Choi mencapai ribu dengan unggahana sebanyak foto maupun video Tak banyak yang Abby Choi jelaskan tentang dirinya lewat bio akun Instagram Ibu satu anak itu hanya menuliskan kalimat merangkul setiap momen dalam hidup dalam bahasa Inggris pada kolom bio tersebut Ikon Fashionista Abby Choi termasuk salah satu pegiat fesyen yang cukup ikonik di Hong Kong Selain parasnya yang cantik kulit cerah dan tubuh langsing Abby Choi mampu memancarkan aura anggun meski hanya tersenyum tipis Abby Choi juga termasuk model yang mendapat pengakuan internasional setelah dia tampil di LOfficiel Monaco sebagai ikon gaya dianggap sebagai sosialita populer yang sering digambarkan di Paris Fashion Week bersama dengan para selebriti dunia Baca Juga Fakta Kasus Pembunuhan Abby Choi Terbaru Sejak Hilang hingga Sidang Ditunda karena Kurang Bukti Punya Anak Perempuan Abby Choi diduga dibunuh saat serang dalam perjalanan menjemput anak perempuannya Anak tersebut hasil dari pernikahannya dengan sang mantan Alex Kwong Tak diketahui berapa usia anak mereka Choi juga nampaknya tak ingin sosok anaknya diketahui publik Pasalnya ia tidak pernah mengunggah satu pun potret putrinya di akun Instagram pribadinya Biayai Keluarga Mantan Suami Meski Sudah Bercerai Sesuai beberapa laporan Choi diduga teyap memberikan bantuan finansial kepada keluarga Kwong mantan suaminya setelah mereka bercerai Kemudian pada tahun Choi menikah dengan suaminya saat ini putra dari pendiri restoran kasual Hong Kong TamJai Yunnan Mixian Kabarnya dia berhenti menghidupi keluarga mantan suaminya setelah menikah dengan suami baru Sering Bertemu Aktor Korea Karena pekerjaannya sebagai fashionista Abby Choi sering diundang ke berbagai acara fashion show ternama yang dihadiri selebriti terkenal Terutama sejumlah aktor Korea Selatan seperti Lee Soo Hyuk Lee Dong Wook hingga Song Joong Ki,,,0,Neutral,7.0,0.9972,", senior, choi, orang, lansia, abby, living, siswa, finlandia, hiv"
