Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
73,Bryan Domani dan Satine Zaneta bermain lato-lato (Bag 3) - ANTARA News,2023-02-26,ANTARA Berakting memang bukan hal yang baru bagi pemain Bryan Domani dan Satine Zaneta Banyak film yang telah mereka bintangi tentu membuat mereka memiliki banyak penggemar Sebagai penggemar mereka apakah Sobat Antara telah mengenal mereka lebih dekat Simak fakta menarik kedua pemeran Virgo and The Sparklings VATS Selain fakta menarik mereka juga sangat antusias saat ditantang bermain latolato Putri HanifaGunawan WibisonoChairul FajriI Gusti Agung Ayu ,56.0,0.0,80,Positif,1.0,0.978,"sehat, bpjs, jaksa, agung, bakti, menang, kominfo, jakarta, menteri, main"
74,Kapolsek Imbau Pelaku Penyerangan Mapolsek Mimika Menyerahkan Diri: Kenapa Suka Sekali Serang Polsek - Tribunnews.com,2023-02-26,Warga Mapurujaya Kabupaten Mimika Provinsi Papua Selatan melakukan aksi blokade jalan dengan membakar ban bekas menyusul informasi adanya warga setempat yang tewas setelah dianiaya Sabtu Laporan Wartawan TribunPapuacom Marselinus Labu Lela TRIBUNNEWSCOM TIMIKA Kapolsek Mimika AKP Matheus  Ate mengimbau kepada para pelaku penyerangan terhadap Mapolsek Mimika Timur agar segera menyerahkan diri Kapolsek AKP Matheus  Ate juga berjanji akan menindak tegas dan mengusut pelaku penyerangan Mapolsek Mimika Timur Jangan melarikan diri lebih baik menyerahkan diri dan kami akan memeriksa sekaligus mencari jalan terbaik kata AKP Matheus  Ate AKP Matheus  Ate mengaku memiliki video yang berisi aksi penyerangan yang mengakibatkan kaca Mapolsek pecah dan dua anggota Polsek mengalami luka karena terkena lemparan batu Dia juga sangat menyayangkan aksi warga yang tibatiba menyerang Mapolsek tanpa bertanya terkait kejadian yang sebenarnya Apalagi aksi penyerangan serupa juga berulang kali terjadi Kenapa warga suka sekali menyerang Polsek jika terjadi masalah Ini bukan baru pertama terjadi tapi sudah berulang kali keluhnya Warga Tewas Picu Penyerangan Mapolsek Sebelumnya Sabtu dinihari sekelompok warga Mapurujaya tibatiba menyerang Mapolsek Mimika Timur Distrik Mimika Timur Kabupaten Mimika Provinsi Papua Tengah Aksi penyerangan itu dipicu meninggalnya seorang warga setempat bernama Abdul Rahman Tuturop Abdul disebutsebut meninggal akibat penganiayaan Soal salah satu warga yang tewas Kapolsek Mimika Timur AKP Matheus  Ate mengonfirmasi jika benar ada laporan terkait hal itu Awalnya istri dari korban meninggal yang bernama Abdul Rahman Tuturop melapor ke Polsek,83.0,23.0,109,Neutral,3.0,0.9946,"warga, gempa, prakerja, kartu, bangun, serang, korban, hutan, seleksi, gelombang"
75,"Kabar Gembira! Cek HP Anda Sekarang, Hasil Seleksi Kartu Prakerja 2023 Diumumkan, Cek prakerja.go.id - Tribunkaltim.co",2023-02-26,Pengumuman Kartu Prakerja gelombang Hasil seleksi Kartu Prakerja Gelombang telah diumumkan pada Sabtu kemarin TRIBUNKALTIMCO Kabar gembira cek HP anda sekarang hasil seleksi Kartu Prakerja telah diumumkan cek prakerjagoid atau via SMS dan Email Hasil seleksi Kartu Prakerja Gelombang telah diumumkan pada Sabtu kemarin Untuk mengetahui apakah lolos atau tidak peserta bisa segera login ke prakerjagoid Bisa juga dengan mengecek notifikasi atau pemberitahuan melalui email dan SMS yang dikirimkan pihak manajemen Kartu Prakerja Baca juga Hasil Seleksi Prakerja via SMS atau Email Pendaftaran Kartu Prakerja Gelombang Ditutup Informasi pengumuman hasil seleksi Kartu Prakerja Gelombang disampaikan pihak manajemen melalui akun Instagram prakerjagoid Penerima Kartu Prakerja Gelombang mana suaranya nih Yuk cek dashboard Kartu Prakerja kamu sekarang untuk tahu status hasil seleksi kamu tulis akun prakerjagoid sebagaimana dikutip Tribunnewscom Bagi peserta yang belum lolos seleksi Kartu Prakerja Gelombang tak perlu sedih dan khawatir Anda dapat bergabung pada gelombang seleksi Kartu Prakerja berikutnya Buat yang belum lolos seleksi jangan khawatir Kamu bisa bergabung lagi di gelombang seleksi selanjutnya ya pastinya dengan ragam pelatihan yang terus bertambah ke depannya tambah akun prakerjagoid Lantas bagaimana cara mengetahui status kelolosan pada Kartu Prakerja Gelombang Mengutip dari prakerjagoid bagi peserta yang lolos seleksi Kartu Prakerja Gelombang maka akan menerima notifikasi kelolosan melalui SMS dan email Baca juga Hasil Seleksi Kartu Prakerja Gelombang sudah Diumumkan Cara Beli Pelatihan agar Insentif Cair Pada tanggal pengumuman hasil seleksi Kartu Prakerja peserta bisa segera login ke akun untuk melihat hasil pengumunan,10.0,0.0,12,Neutral,3.0,0.9946,"warga, gempa, prakerja, kartu, bangun, serang, korban, hutan, seleksi, gelombang"
76,"Hobi Main Judi Online Sampai Ketagihan? Awas,Ini Bahaya dan Resiko yang Pasti Terjadi",2023-02-26,Sering janjikan kemenangan ini dia bahaya dan resiko main judi online Judi adalah sebuah permainan dengan mempertaruhkan uang atau barang berharga sebagai jaminan Konsep dari permainan judi yaitu seseorang mengadu nasib dan keberuntungan dengan memilih satu pilihan dari beberapa pilihan dimana hanya ada satu pilihan yang benar sedangkan pilihan yang lain adalah pilihan yang salah Seseorang yang memilih pilihan yang benar akan mendapatkan semua uang atau barang yang ditaruhkan oleh orangorang yang terlibat di dalam permainan sedangkan yang salah memilih maka akan kehilangan uang atau barang yang telah dipertaruhkan Judi sendiri menurut beberapa sumber yang TS baca berasal dari negara China Bukti judi berasal dari China yaitu ditemukannya lotre yang diperkirakan telah ada sejak sebelum masehi Membahas tentang dunia perjudian tentu ini menjadi masalah yang cukup kompleks GanSis Sebab meskipun di berbagai negara judi dilarang dan merupakan bagian dari tindakan pidana tetapi banyak orang yang masih melakukan praktik perjudian secara ilegal Masih terkait judi sejak tahun judi online mulai diperkenalkan di tengah masyarakat luas termasuk di negara Indonesia Sampai saat ini banyak sekali orangorang yang memilih untuk menjadikan judi online yang dianggap dan dinilai sebagai aktivitas yang menguntungkan meskipun pada kenyataannya banyak yang mengalami kebangkrutan Bagi Agan dan Sista yang suka ikut cobacoba judi online berikut ini beberapa bahaya dan resikonya sebelum kalian hilang akal karena ketagihan Bangkrut Stres dan Depresi Kehilangan Semua yang Berharga Berikut tadi beberapa bahaya dan resiko bermain judi yang dapat Agan Sista dapatkan saat sudah menjadikannya sebagai hobi sampai pada kadar ketagihan Tentu kontrol diri untuk memulai dan mengalir permainan ada di tangan Agan Sista sebab diingatkan oleh siapapun jika kalian tidak mau mendengar maka hanya menganggap orang lain sebagai penghambat kesuksesan Menurut TS dari pada Agan Sista menggunakan uang yang kalian miliki untuk sesuatu yang belum pasti maka akan lebih berguna jika digunakan untuk menghidupi anak istri atau modal kerjaan yang halal meskipun dengan untung yang sedikit,,,0,Negatif,9.0,0.9941,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
77,"Menteri LHK Canangkan Gerakan Nasional Compost Day, Kompos Satu Negeri - Tribunnews.com",2023-02-26,Menteri Siti Nurbaya saat membuka kegiatan “Gerakan Nasional Compost Day Kompos Satu Negeri” Kegiatan ini merupakan salah satu rangkaian Hari Peduli Sampah Nasional HPSN yang mengambil tema “Tuntas Kelola Sampah untuk Kesejahteraan Masyarakat” yang dipusatkan di Lapangan Banteng Jakarta Pusat Minggu Laporan Wartawan Tribunnewscom Johnson Simanjuntak TRIBUNNEWSCOM JAKARTA Menteri Lingkungan Hidup dan Kehutanan KLHK Siti Nurbaya menyatakan penuntasan masalah sampah bukan hal yang mudah Dengan Composting atau membuat kompos dari sampah organik merupakan aktualisasi paradigma baru dalam pendekatan penanganan persampahan Kegiatan ini menjadi penting dalam upaya menyelesaikan masalah persampahan secara tuntas sesuai dengan tema HPSN Metode kompos dapat membuat sampah menjadi berkah atau dengan kata lain menjadikan sampah sebagai bahan bernilai ekonomi secara langsung maupun tidak langsung atau dapat disebut sebagai bagian dalam pendekatan ekonomi sirkuler ujar Menteri Siti Nurbaya saat membuka kegiatan “Gerakan Nasional Compost Day Kompos Satu Negeri” Kegiatan ini merupakan salah satu rangkaian Hari Peduli Sampah Nasional HPSN yang mengambil tema “Tuntas Kelola Sampah untuk Kesejahteraan Masyarakat” yang dipusatkan di Lapangan Banteng Jakarta Pusat Minggu Baca juga Rugikan Industri Pelayaran KLH Ajak Pengusaha Ikut Cegah Illegal Logging Gerakan membuat kompos dilakukan serentak bersamasama dengan masyarakat di beberapa daerah Menteri Siti mengungkapkan kompos telah dikenal masyarakat selama puluhan tahun dan dipakai secara konvensional di berbagai tempat di desa atau di kota yaitu menjadi pupuk organik Sampah bekas makanan sayuran dan sebagainya dapat dimanfaatkan menjadi pupuk bagi tanaman Dengan kata lain bahwa sudah ada dan melekat dalam kehidupan keseharian meski belum kuat konsisten dilakukan yaitu orientasi sampah organik menjadi pupuk Menteri Siti mengharapkan seluruh masyarakat di Indonesia dapat memilah dan mengolah sampah organik yang berasal dari rumah tangga secara mandiri Jika seluruh masyarakat Indonesia melakukan pengomposan sampah organik sisa makanan setiap tahunnya secara mandiri di rumah maka Juta ton sampah organik tidak dibawa ke TPA dan dapat menurunkan emisi Gas Rumah Kaca GRK sebesar juta ton COeq Kompos itu mudah dan bermanfaat jangan takut untuk mulai mengompos karena mengompos itu tidak sulit dan hanya memerlukan kemauan untuk mencoba pesan Menteri Siti Menteri Siti menjelaskan berdasarkan data dari daerah yang dihimpun oleh KLHK tahun jumlah timbulan sampah di Indonesia sebesar juta tontahun dengan komposisi sampah didominasi oleh sampah organik khususnya sampah sisa makanan yang mencapai persen Kurang lebih dari sampah tersebut bersumber dari rumah tangga,,,0,Neutral,7.0,0.9964,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
78,Pakar Mikro Ekspresi Sebut Sikap Tubuh Mario Dandy Jadi Bukti Ucapan Tersangka Tak Takut Polisi - Tribun Video,2023-02-26,TRIBUNVIDEOCOM Mario Dandy Satriyo dalam video yang viral saat melakukan penganiayaan terhadap  sempat berkata bahwa dirinya tak takut dilaporkan ke polisi Ucapan dari anak pejabat Direktorat Jenderal Pajak DJP ini terbukti benar adanya karena Dandy masih bisa berdiri tegap membusungkan dada seusai ditangkap oleh polisi Dikutip TribunWow dari Kompastv analisis ini disampaikan oleh pakar mikro ekspresi Monica Kumalasari Monica membandingkan sikap tubuh Dandy dengan tersangka Shane Lukas yang terus menunduk ketika dihadirkan dalam konferensi pers oleh pihak kepolisian Ekspresi yang bersifat genuine adalah ekspresi yang ditampilkan otototot wajah kita Kita memiliki muscles di wajah yang itu bertanggung jawab atas apa yang dirasakan seseorang” kata Monica dalam program Kompas Petang di Kompas TV Sabtu Yang kita lihat di sini adalah mulai dari gestur yang bersangkutan itu menunjukkan high power pulse Kemudian juga dari ekspresinya tidak menunjukkan ketakutan atau kesedihan karena telah menyebabkan suatu kerugian bagi banyak orang” lanjutnya Monica melihat tak ada rasa empati dari diri Dandy ketika yang bersangkutan dihadirkan di muka publik Baca Tak Percaya Tersangka Negatif Narkoba Ketua GP Ansor Minta Lakukan Metode Lain Test Ulang Narkoba Ini menunjukkan yang bersangkutan ini masih berani menghadapi publik dan bila rekamannya yang beredar benar bahwa yang bersangkutan mengatakan tidak takut dilaporkan ke polisi konsisten dengan apa yang ditunjukkan saat ini” kata Monica Sebagai informasi korban DA anak pengurus GP Ansor ternyata sempat mengalami perundungan sebelum dianiaya oleh Dandy hingga koma Dilansir TribunWowcom Sabtu terungkap fakta bahwa Dandy melakukan perpeloncoan kepada korban Tak hanya mengintimidasi putra mantan pejabat Dirjen Perpajakan Jakarta Selatan itu meminta korban untuk push up dan melakukan sikap tobat Kapolres Metro Jakarta Selatan Kombes Ade Ary Syam Indradi mengatakan insiden pada Senin tersebut bermula dari percakapan antara tersangka Mario Dandy dan Shane Lukas Rotua Mario Dandy yang mendapat kabar kekasihnya AGH mendapat perlakuan kurang menyenangkan dari DA langsung menghubungi Shane Dengan emosi Mario Dandy menceritakan masalahnya pada Shane yang justru melakukan provokasi Akhirnya tersangka MDS emosi kemudian tersangka  menjawab Gua kalo jadi lu pukulin aja Itu parah Dentutur Ade Ary dikutip Tribunnewscom Jumat Baca Menangis Sesenggukan Ini Sosok Teman Mario yang Ikut Dijadikan Tersangka Kemudian dua tersangka bersama AGH mendatangi DA yang sedang berada di rumah temannya kawasan Ulujami Pesanggrahan Jakarta Selatan Shane pun berniat membantu Mario Dandy dan menanyakan peran yang bisa dilakukannya Kemudian tersangka MDS menjawab Entar lu videoin aja Kemudian tersangka  bertanya Ya udah mana hp lu lanjutnya Setelah DA datang ke gang tempat Mario Dandy berada diduga keributan terjadi Mario Dandy lantas memerintahkan korban untuk melakukan push up sebanyak kali Korban mengaku tak bisa menuruti permintaan itu dan mengaku hanya bisa melakukan sampai kali Mario Dandy juga menyuruh korban melakukan sikap tobat seperti yang diperagakan oleh Shane Yakni gerakan kepala di bawah sejajar dengan kaki sambil melakukan posisi membungkuk seperti sedang menyembah Korban mengatakan tidak bisa akhirnya tersangka MDS menyuruh tersangka  mencontohkan sikap tobat tutur Ade Ary Namun korban kembali tidak mampu melakukan gerakan tersebut sehingga Mario Dandy memintanya melakukan posisi push up Ketika itulah Mario Dandy melakukan penganiayaan dengan cara menendang dan memukuli korban terutama di bagian kepala Tersangka  melakukan perekaman video dengan menggunakan hp milik tersangka MDS tutur Ade Ary Kejadian tersebut juga telah dicocokkan melalui rekaman ponsel Mario Dandy maupun CCTV yang berada di sekitar lokasi Para saksi menyatakan sesuai dengan apa yang ditayangkan dalam video yaitu telah terjadi kekerasan terhadap  dengan cara menendang kepala berkalikali tutur Ade Ary Kemudian menginjak kepala beberapa kali dan juga menendang perut dan memukul kepala pada ketika korban dalam posisi push up TribunWowcom Artikel ini telah tayang di TribunWowcom dengan judul Pakar Mikro Ekspresi Sebut Sikap Tubuh Mario Dandy Jadi Bukti Ucapan Tersangka Tak Takut Polisi beritaterbaru beritahariini beritaupdate beritaterkini beritaviral direktoratjenderalpajak mariodandysatriyo penganiayaan monicakumalasari direktoratjenderalpajak Penulis anung aulia malik Editor Mohamad Yoenus VP Anggraini Puspasari,,,0,Negatif,4.0,0.9977,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
79,Hujan Deras di Akhir Februari Disebabkan Aktivitas Monsoon Asia | merdeka.com,2023-02-26,Hujan Deras di Akhir Februari Disebabkan Aktivitas Monsoon Asia Reporter Eko Prasetya Hujan deras di kawasan Jalan Sudirman © LiputancomFaizal Fanani Merdekacom Sejumlah wilayah Indonesia diguyur hujan lebat disertai petir dan angin kencang beberapa hari ini di akhir bulan Februari Menurut Badan Meteorologi Klimatologi dan Geofisika BMKG potensi hujan lebat lebih dari milimeter per hari dengan status waspada Deputi Bidang Meteorologi BMKG Guswanto meminta masyarakat mewaspadai potensi cuaca ekstrem di beberapa wilayah Indonesia selama sepekan ke depan yang salah satunya dipicu oleh aktivitas Monsoon Asia yang menguat Perkembangan kondisi cuaca di seluruh wilayah Indonesia saat ini menunjukkan signifikansi dinamika atmosfer yang berdampak pada potensi peningkatan curah hujan di sejumlah wilayah di Indonesia katanya Ia mengemukakan potensi cuaca ekstrem ini dipicu oleh kondisi atmosfer yang mendukung pembentukan awan hujan lebih intensif dalam beberapa waktu ke depan di antaranya aktivitas Monsoon Asia yang menguat Satu Warga Meninggal Dunia Tertimbun Longsor di MalangBMKG Beri Peringatan Hujan Lebat di Daerah Besar Ini Wilayahnya BACA JUGA dari halaman,,,0,Neutral,5.0,0.9921,"lapor, sri, mulyani, jabat, kemenkeu, pegawai, lhkpn, raisa, anak, pajak"
80,"Simak Syarat Naik Kereta Api Sebelum Berburu Tiket Mudik Lebaran, Apakah Tes PCR Tidak Berlaku Lagi? - Tribunjakarta.com",2023-02-26,Loket pemesanan tiket kereta api di Stasiun Gambir Jakarta Pusat TRIBUNJAKARTACOM JAKARTA Catat baikbaik syarat naik kereta api saat ini sebelum berburu tiket periode mudik Lebaran Kereta Api menjadi salah satu angkutan umum yang banyak digunakan masyarakat untuk mudik ke kampung halaman saat periode Lebaran Tahun ini tiket kereta api Lebaran sudah bisa dipesan mulai hari ini Minggu Dengan begitu masyarakat yang ingin menggunakan angkutan kereta api untuk mudik Lebaran bisa segera melakukan pemesanan tiket agar tidak kehabisan Baca juga Begini Cara Beli Tiket Kereta Api Lebaran Sudah Bisa Dipesan Hari Ini Namun sebelum itu penting bagi Kamu yang ingin menggunakan angkutan kereta api jarak jauh untuk mudik Lebaran tahun ini mengetahui syarat perjalanan terbarunya Apakah saat ini tes PCR untuk melakukan perjalanan dengan kereta api jarak jauh masih diperlukan Syarat naik kereta api Suasana keramaian penumpang Kereta Api di Stasiun Senen Jakarta Pusat Jumat TRIBUNJAKARTACOMSUCI FEBRIASTUTI Untuk diketahui saat ini PT Kereta Api Indonesia saat ini masih mengacu pada SE Kementerian Perhubungan Nomor dan SE Kementerian Kesehatan Nomor HKII Dilansir TribunJakartacom dari laman sosial media resmi kai aturan tentang perjalanan naik kereta api jarak jauh diatur untuk penumpang mulai dari usia di bawah tahun hingga usia di atas tahun Adapun aturan bagi penumpang usia tahun ke atas harus sudah vaksin ketiga atau booster saat melakukan perjalanan Bagi yang belum melakukan vaksin booster karena alasan medis harus melampirkan surat keterangan dokter dari rumah sakit Pemerintah Kemudian bagi penumpang usia tahun harus sudah menjalani vaksin Covid dosis kedua Sama halnya pada usia tahun keatas penumpang usia tahun yang belum melakukan vaksinasi dosis kedua juga wajib melampirkan melampirkan surat keterangan dokter dari rumah sakit Pemerintah Sementara untuk penumpang anakanak usia tahun yang belum mendapatkan vaksinasi dosis kedua harus melampirkan surat keterangan belum vaksinasi dari puskesmas atau fasilitas pelayanan kesahatan atau harus didampingi oleh orangtua atau pendamping yang sudah menjalani vaksinasi lengkap,2.0,0.0,3,Neutral,7.0,0.9953,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
81,Anies Baswedan Minta Pendukungnya untuk Tidak Membuat Hoaks dan Melebih-lebihkan Capaian - Tribunnews.com,2023-02-26,Anies Baswedan saat acara Apel Siaga PKS yang diselenggarakan di Stadion Madya Gelora Bung Karno Minggu Dalam kesempata tersebut Anies meminta pendukungnya untuk tidak membuat hoaks dan melebihlebihkan capaian Laporan Wartawan Tribunnewscom Rahmat  Nugraha TRIBUNNEWSCOM JAKARTA Bakal calon presiden dari Koalisi Perubahan Anies Baswedan meminta pendukungnya untuk tidak membuat hoaks dan melebihlebihkan capaian Adapun pernyataan tersebut disampaikan Anies Baswedan dala pidatonya saat Apel Siaga PKS yang diselenggarakan di Stadion Madya Gelora Bung Karno Minggu Untuk itu saya sampaikan lagi kepada semuanya yang mendukung dalam perjuangan dalam kerja kedepan Kita tidak perlu membuat hoaks kita tidak perlu memakimaki mereka yang menyerang kata Anies Baswedan Mantan Gubernur DKI Jakarta itu melanjutkan pendukungnya tidak perlu mengarangmengarang dan juga tidak perlu melebihlebihkan capaian Baca juga PKS Disebut Partai Pertama Usung SBY Jadi Capres Anies Baswedan Hasilnya Kemenangan Kenapa Karena kita percaya diri dengan rekam jejak Kita percaya diri dengan rekam karya kita percaya diri dengan rekam gagasan yang ada selama ini tegasnya Anies Baswedan meminta agar hal itu disebarkan dan sampaikan kepada semuanya dengan santun dengan merangkul dan dengan menginspirasi Baca juga Presiden PKS Anies Baswedan Bukan Sosok Menabur Sentimen Kebencian Orang yang percaya diri dengan apa yang dimiliki tak akan terprovokasi dan akan goyah dengan serangan dan upaya merendahkan pihak lain katanya PKS diketahui telah mendeklarasikan Anies sebagai bacapres pada pemilu setelah diputuskan dalam Musyawarah Majelis Syura VIII yang berlangsung di kantor DPTP PKS di Jakarta pada Kamis Baca juga AHY Sandiaga Hingga Khofifah Masuk Radar PKS Sebagai Bakal Cawapres Pendamping Anies Baswedan Presiden PKS Ahmad Syaikhu menyampaikan langsung hasil dari MMS PKS VIII yang salah satunya adalah mengusung Anies Baswedan sebagai Bakal Calon Presiden RI dalam Pemilu Syaikhu menyebut sosok Anies Baswedan yang berkarakter nasionalis religius menjadi salah satu alasan PKS mengusung eks Gubernur DKI Jakarta tersebut Saudara Anies Rasyid Baswedan adalah sosok pemimpin yang memiliki karakter nasionalis sekaligus religius kata Syaikhu Baca juga Habib Aboe Sambut Anies Baswedan di Rakernas PKS Capres Kita Presiden InsyaAllah Jadi Kenyataan Jika kita membaca sejarah bangsa Indonesia kita menyaksikan bahwa kakek beliau AR Baswedan adalah salah satu pahlawan nasional dan pendiri bangsa yang berkontribusi besar dalam memperjuangkan kemerdekaan Indonesia di berbagai forum internasional darah juang dan kepahlawanan Sang Kakek insyaAllah akan diwarisi oleh Saudara Anies Rasyid Baswedan lanjutnya Syaikhu menambahkan Anies Baswedan sosok yang dapat memadukan antara nilai nasionalisme dan nilai agama menjadi satu kesatuan dalam membangun bangsa,0.0,0.0,12,Neutral,6.0,0.6439,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
82,"Ditanya Kenapa Percaya Syarifah hingga Datang ke Indonesia, Ini Kata Pria India Ditolak Calon Mertua - Serambinews.com",2023-02-26,Ditanya kenapa percaya Syarifah Khairunnisa hingga berani datang ke Indonesia ini kata pria India yang ditolak calon mertua SERAMBINEWSCOM Ditanya kenapa percaya Syarifah hingga berani datang ke Indonesia ini kata pria India yang ditolak calon mertua Diketahui Asib Ali Bhore kisah pria asal India yang datang ke Indonesia untuk melamar pujaan hatinya bernama Syarifah Khairunnisa harus berujung pahit Pemuda India itu ditolak mentahmentah oleh sang calon mertua dan harus terkatungkatung di bandara tanpa makan sebelum akhirnya diselamatkan influencer bernama Akash Ellahi Saat ditanya kenapa begitu percaya kepada sang pujaan hatinya Asib Ali membongkar sejumlah fakta Pemuda India itu menjelaskan sudah terlanjur percaya pada pujaan hatinya karena sang wanita tersebut yang menyuruhnya langsung untuk datang ke Indonesia Disuruh datang ke sini dan dia mau nikah ucap Asib Ali yang diterjemahkan Akash Ellahi pria yang menyelamatkannya dilihat Serambinewscom dari tayangan program PagiPagi Ambyar Trans TV Jumat Baca juga Terkatungkatung Hari di Bandara tanpa Makan Begini Nasib Pemuda India yang Ditolak Calon Mertua Karena sudah berkomunikasi hampir jam sehari baik melalui telepon dan chat WhatsApp kedekatan keduanya terbangun erat walau menjalin hubungan jarak jauh Sudah percaya satu sama lain Dan sebelum ini sudah berapa kali dia ajak tapi karena lagi kerja di Saudi dikontrak di sana jelas Akash berdasarkan penjelasan Asib Ali Pemuda India yang mengaku sebagai desainer baju Arab itu mengungkapkan sebelum memesan tiket dan datang ke Indonesia sempat memastikan semua ke pujaan hatinya Sebelum pesan tiket sudah tanya ribuan kali ke cewek itu Kalau kamu mau nikah baru saya beli tiket karena jangan siasiakan uang saya ungkap Asib Ali Baca juga Baru Dibuat Sehari Akun TikTok Asib Diserbu Netizen Pemuda India yang Ditolak Calon Mertua Terkenal Dijanjikan Nikah Pertengahan Februari Pemuda India bernama Asib Ali itu juga sempat dijanjikan oleh kekasihnya yakni Syarifah Khairunnisa untuk menikah ketika tiba di Indonesia berujung pahit karena penolakan calon mertua,101.0,21.0,127,Negatif,9.0,0.9952,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
83,Rio Open : Alcaraz melaju ke final setelah kandaskan Nicolas Jarry,2023-02-26,Petenis Spanyol Carlos Alcaraz berselebrasi setelah berhasil menundukkan lawannya petenis Chili Nicolas Jarry seusai pertandingan semi final tenis ATP Rio Open di Jockey Club Brasileiro Rio De Janeiro Brazil Sabtu waktu setempat Petenis nomor dua dunia tersebut melaju ke babak final setelah mengalahkan Nicolas Jarry dengan skor ANTARA FOTOReutersSergio Moraesnym,,,0,Neutral,6.0,0.978,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
84,"OneRepublic mainkan ""cover"" Adele hingga Beyonc di Woke Up Fest",2023-02-26,Gitaris band OneRepublic Zach Filkins saat tampil dalam Woke Up Fest di Istora Senayan Jakarta Sabtu Ahmad Faishal Penonton menyaksikan penampilan OneRepublic saat Woke Up Fest di Istora Senayan Jakarta Sabtu Ahmad Faishal Jakarta ANTARA Ada yang unik dari penampilan band pop rock OneRepublic pada Woke Up Fest di Istora Senayan Jakarta Sabtu Tak hanya memainkan sederet hits andalan band asal Colorado Amerika Serikat itu juga membawakan beberapa lagu cover yang amat dikenal oleh publikBand yang beranggotakan Ryan Tedder vokal Zach Filkins gitar Drew Brown gitar Brent Kutzle cello Brian Willett keysviolin dan Eddie Fisher drums tersebut tampil menghibur penggemar selama sekitar satu jamDi tengahtengah penampilan vokalis Ryan Tedder bercerita mengenai berbagai kesan positif yang ia dapatkan selama bekerja dengan banyak musisi lintasgenre Selama ini ia memang kerap membuat lirik dan lagu untuk sejumlah penyanyiAku mengajak kalian selama lima belas menit ke depan untuk bernyanyi empat atau lima lagu yang mungkin amat digemari di sini kata Ryan sambil beralih ke piano dan memainkan lagu HaloLagu tersebut ditulis oleh Ryan bersama penulis lagu Evan Kidd Bogart yang kemudian dipopulerkan oleh solois Beyoncè Tak hanya Halo OneRepublic juga membawakan sejumlah cover yang melibatkan Ryan Tedder dalam proses produksinyaRyan lalu mengajak penonton berkaraoke lagu Rumour Has It yang ia tulis dan kemudian dipopulerkan oleh Adele pada tahun Selepas itu secuplik lagu Thats What  Want milik Lil Nas  juga meluncur sesaat sebelum OneRepublic memainkan komposisi bersemangat SuckerLagu yang dirilis tahun tersebut dipopulerkan oleh grup band Jonas Brothers dan juga ditulis serta diproduseri oleh Ryan TedderDalam perhelatan Woke Up Fest kali ini OneRepublic tampil membawakan deret lagu andalan mereka di antaranya Secrets Good Life Stop and StareRescue Me dan Love Runs Out Sementara itu lagu  Aint Worried Apologize  Lived Counting Stars dan If  Lose Myself menghadirkan koor massal paling pecah sepanjang konserHingga kini OneRepublic telah merilis tujuh album studio yaitu Dreaming Out Loud Waking Up Native Oh My My dan Human Pewarta Ahmad Faishal Adnan Editor Maria Rosari Dwi Putri COPYRIGHT © ANTARA,,,0,Neutral,9.0,0.9961,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
